test_name,section,module,question_number,question_type,correct_answer,passage,question_stem,choice_A,choice_B,choice_C,choice_D
sat-practice-test-5-digital,Reading and Writing,1,1,Multiple Choice,A,"............................................................................................................................................................................................................................................................................................................... 18 In 2016 biological anthropologist Heather F. Smith and her team investigated the evolution of the appendix, an intestinal organ that is present in some mammals, including humans, but is generally thought to have no function. Studying 533 mammal species, the team found that the appendix has emerged independently across multiple lineages in separate instances and, significantly, hasn’t disappeared after emerging in specific lineages. Moreover, the team determined that species with the organ tend to have higher concentrations of lymphoid tissue, which supports immune responses, in the cecum, the organ the appendix is attached to. Therefore, the team hypothesized that the appendix likely _______",Which choice most logically completes the text?,was once present in many nonmammal species but has since disappeared from those lineages.,has been preserved in certain mammal species because it benefits their immune systems.,will emerge in a greater number of mammal species because it may serve a necessary function in the immune system.,produced higher concentrations of lymphoid tissue in mammals in the past than it does currently. 9 CONTINUE
sat-practice-test-5-digital,Reading and Writing,1,2,Multiple Choice,B,"- - - - - - - - - ~ Many ancient sculptures of people’s heads are missing their noses. This is because the nose is the most _______ part of a sculpture of a person’s head. It is delicate and sticks out from the rest of the sculpture, making it especially easy to break.",Which choice completes the text with the most logical and precise word or phrase?,recognizable,fragile,common,sophisticated Mo
sat-practice-test-5-digital,Reading and Writing,1,3,Multiple Choice,B,"K.D. Leka and colleagues found that the Sun’s corona provides an advance indication of solar flares—intense eruptions of electromagnetic radiation that emanate from active regions in the Sun’s photosphere and can interfere with telecommunications on Earth. Preceding a flare, the corona temporarily exhibits increased brightness above the region where the flare is _______. Which choice completes the text with the most logical and precise word or phrase?",Which choice completes the text with the most logical and precise word or phrase?,hypothesized,discounted,redefined,exploited odule
sat-practice-test-5-digital,Reading and Writing,1,4,Free Response,D,,,,,,
sat-practice-test-5-digital,Reading and Writing,1,6,Multiple Choice,,"The following text is adapted from Jean Webster’s 1912 novel Daddy-Long-Legs. The narrator is a young college student writing letters detailing her weekly experiences. [The college is] organizing the Freshman basket-ball team and there’s just a chance that I shall make it. I’m little of course, but terribly quick and wiry and tough. While the others are hopping about in the air, I can dodge under their feet and grab the ball.",Which choice best states the main purpose of the text?,To compare basketball with other sports,To provide details of how to play basketball,To state how players will be chosen for the basketball team,To explain why the narrator thinks she might make the basketball team 3 CONTINUE
sat-practice-test-5-digital,Reading and Writing,1,8,Multiple Choice,C,"Chile’s Atacama Desert is one of the driest places on Earth. Mary Beth Wilhelm and other astrobiologists search for life, or its remains, in this harsh place because the desert closely mirrors the extreme environment on Mars. The algae and bacteria found in Atacama’s driest regions may offer clues about Martian life. By studying how these and other microorganisms survive such extreme conditions on Earth, Wilhelm’s team hopes to determine whether similar life might have existed on Mars and to develop the best tools to look for evidence of it.",Which choice best describes the function of the underlined sentence in the text as a whole?,To contrast the conditions in the Atacama Desert with those on Mars,To explain why many life-forms cannot survive in the Atacama Desert,To indicate why astrobiologists choose to conduct research in the Atacama Desert,To describe certain limitations to conducting scientific study in the Atacama Desert Mo
sat-practice-test-5-digital,Reading and Writing,1,9,Multiple Choice,B,"More than 60% of journeys in Mexico City occur via public transit, but simply reproducing a feature of the city’s transit system—e.g., its low fares—is unlikely to induce a significant increase in another city’s transit ridership. As Erick Guerra et al. have shown, transportation mode choice in urban areas of Mexico is the product of a complex mix of factors, including population density, the spatial distribution of jobs, and demographic characteristics of individuals. System features do affect ridership, of course, but there is an irreducibly contextual dimension of transportation mode choice.",Which choice best describes the function of the underlined portion in the text as a whole?,It presents an objection to the argument of Guerra et al. about transportation mode choice in urban areas of Mexico.,It explains why it is challenging to influence transit ridership solely by altering characteristics of a transit system.,It illustrates the claim that a characteristic associated with high transit ridership in Mexico City is not associated with high transit ridership elsewhere.,"It substantiates the assertion that population density, the spatial distribution of jobs, and demographic characteristics are important factors in transportation mode choice. odule"
sat-practice-test-5-digital,Reading and Writing,1,10,Free Response,B,,,,,,
sat-practice-test-5-digital,Reading and Writing,1,12,Multiple Choice,A,"The ancient writing system used in the Maya kingdoms of southern Mexico and Central America had a symbol for the number zero. The earliest known example of the symbol dates to more than 2,000 years ago. At that time, almost none of the writing systems elsewhere in the world possessed a zero symbol. And the use of zero in Mexico and Central America may be even more ancient. Some historians suggest that Maya mathematicians inherited it from the Olmec civilization, which flourished in the region 2,400–3,600 years ago.","According to the text, what do some historians suggest about Maya civilization?",Maya civilization acquired the use of zero from the Olmec civilization.,Maya civilization respected its historians more than it respected its mathematicians.,Maya civilization was highly secretive about its intellectual achievements.,Maya civilization tried to introduce its writing system to other civilizations.
sat-practice-test-5-digital,Reading and Writing,1,13,Multiple Choice,D,,"“The Bet” is an 1889 short story by Anton Chekhov. In the story, a banker is described as being very upset about something: _______ Which quotation from “The Bet” most effectively illustrates the claim?",“Then the banker cautiously broke the seals off the door and put the key in the keyhole.”,"“It struck three o’clock, the banker listened; everyone was asleep in the house and nothing could be heard outside but the rustling of the chilled trees.”","“The banker, spoilt and frivolous, with millions beyond his reckoning, was delighted at the bet.”","“When [the banker] got home he lay on his bed, but his tears and emotion kept him for hours from sleeping.” Mo"
