test_name,section,module,question_number,question_type,correct_answer,passage,question_stem,choice_A,choice_B,choice_C,choice_D
sat-practice-test-6-digital,Reading and Writing,1,1,Multiple Choice,D,"............................................................................................................................................................................................................................................................................................................... 9 Text 1 In 1954 George Balanchine choreographed a production of The Nutcracker, a ballet by Pyotr Ilyich Tchaikovsky. It has since become a tradition for hundreds of dance companies in North America to stage The Nutcracker each year. But the show is stuck in the past, with an old-fashioned story and references, so it should no longer be produced. Ballet needs to create new traditions if it wants to stay relevant to contemporary audiences. Text 2 The Nutcracker is outdated, but it should be kept because it’s a holiday favorite and provides substantial income for some dance companies. Although it can be behind the times, there are creative ways to update the show. For example, Debbie Allen successfully modernized the story. Her show Hot Chocolate Nutcracker combines ballet, tap, hip-hop, and other styles, and it has been gaining in popularity since it opened in 2009.","Based on the texts, how would the author of Text 2 most likely respond to the underlined claim in Text 1?",By questioning the idea that the story of The Nutcracker is stuck in the past and by rejecting the suggestion that contemporary audiences would enjoy an updated version,By agreeing that contemporary audiences have largely stopped going to see performances of The Nutcracker because it’s so old-fashioned,By pointing out that most dance companies could increase their incomes by offering modernized versions of The Nutcracker,By suggesting that dance companies should consider offering revised versions of The Nutcracker instead of completely rejecting the show 5 CONTINUE
sat-practice-test-6-digital,Reading and Writing,1,2,Multiple Choice,B,"- - - - - - - - - ~ In editor Lisa Yaszek’s introduction to her anthology The Future Is Female! More Classic Science Fiction Stories by Women, Yaszek identifies an increasing sense of _______ feminist mode of writing in the 1970s, in contrast to many woman-authored science fiction stories of the 1920s to 1960s whose politics were less deliberately signaled.",Which choice completes the text with the most logical and precise word or phrase?,a prudently,an overtly,a cordially,an inadvertently Mo
sat-practice-test-6-digital,Reading and Writing,1,3,Multiple Choice,B,"_______ the long-standing trend of overemphasizing teenagers and young adults in research on social media use, scholars have recently begun to expand their focus to include the fastest-growing cohort of social media users: senior citizens.",Which choice completes the text with the most logical and precise word or phrase?,Exacerbating,Redressing,Epitomizing,Precluding
sat-practice-test-6-digital,Reading and Writing,1,4,Multiple Choice,D,"The following text is adapted from James Baldwin’s 1956 novel Giovanni’s Room. The narrator is riding in a taxi down a street lined with food vendors and shoppers in Paris, France. The multitude of Paris seems to be dressed in blue every day but Sunday, when, for the most part, they put on an unbelievably festive black. Here they were now, in blue, disputing, every inch, our passage, with their wagons, handtrucks, their bursting baskets carried at an angle steeply self-confident on the back.","As used in the text, what does the word “disputing” most nearly mean?",Arguing about,Disapproving of,Asserting possession of,Providing resistance to odule
sat-practice-test-6-digital,Reading and Writing,1,6,Free Response,,,,,,,
sat-practice-test-6-digital,Reading and Writing,1,7,Multiple Choice,B,"When classical pianist Martha Argerich performs, it appears as if the music is coming to her spontaneously. She’s highly skilled technically, but because of how freely she plays and her willingness to take risks, she seems relaxed and natural. Her apparent ease, however, is due to a tremendous amount of preparation. Despite Argerich’s experience and virtuosity, she never takes for granted that she knows a piece of music. Instead, she approaches the music as if encountering it for the first time and tries to understand it anew.",Which choice best states the main purpose of the text?,To provide details about how Argerich identifies which pieces of music she will perform,To assert that Argerich’s performances look effortless because of how she prepares for them,To discuss the kinds of music Argerich feels most comfortable encountering for the first time,To describe the unique way that Argerich approaches music she hasn’t performed before Mo
sat-practice-test-6-digital,Reading and Writing,1,8,Multiple Choice,B,"The following text is adapted from Herman Melville’s 1855 novel Israel Potter. Israel is a young man wandering through New England during the late eighteenth century. He hired himself out for three months; at the end of that time to receive for his wages two hundred acres of land lying in New Hampshire. [...] His employer proving false to the contract in the matter of the land, and there being no law in the country to force him to fulfil it, Israel—who, however brave-hearted, and even much of a dare-devil upon a pinch, seems nevertheless to have evinced, throughout many parts of his career, a singular patience and mildness—was obliged to look round for other means of livelihood than clearing out a farm for himself in the wilderness.",Which choice best describes the function of the underlined portion in the text as a whole?,It implies that Israel treasures a particular characteristic of his personality when that characteristic should usually be regarded as a flaw.,"It suggests that if not for a certain aspect of his character, Israel might not have been as easily thwarted in his ambition to establish a farm.",It shows why Israel would not have been able to undertake the enormous amount of labor necessary to run a farm even if he had owned the necessary property.,"It explains why, when the situation requires it, Israel is able to undertake courageous acts that others would generally avoid. odule"
sat-practice-test-6-digital,Reading and Writing,1,10,Free Response,D,,,,,,
sat-practice-test-6-digital,Reading and Writing,1,11,Multiple Choice,,"Annual Car Production in the United States, 1910–1925 Number Number of of cars companies Year produced producing cars 1910 123,990 320 1915 548,139 224 1920 1,651,625 197 1925 3,185,881 80 A student is using the table as part of a social studies class presentation on the US auto industry in the early twentieth century. The student notes that, according to the table, from 1910 to 1925 _______",Which choice most effectively uses data from the table to complete the statement?,the number of cars produced increased but the number of companies producing cars decreased.,both the number of cars produced and the number of companies producing cars remained unchanged.,the number of cars produced decreased but the number of companies producing cars remained unchanged.,both the number of cars produced and the number of companies producing cars increased. Mo
sat-practice-test-6-digital,Reading and Writing,1,12,Multiple Choice,A,,"External shopping cues are a type of marketing that uses obvious messaging—a display featuring a new product, for example, or a “buy one, get one free” offer—to entice consumers to make spontaneous purchases. In a study, data scientist Sam K. Hui and colleagues found that this effect can also be achieved with a less obvious cue: rearranging a store’s layout. The researchers explain that trying to find items in new locations causes shoppers to move through more of the store, exposing them to more products and increasing the likelihood that they’ll buy an item they hadn’t planned on purchasing. Which response from a survey given to shoppers who made a purchase at a retail store best supports the researchers’ explanation?","“I needed to buy some cleaning supplies, but they weren’t in their regular place. While I was looking for them, I saw this interesting notebook and decided to buy it, too.”","“I didn’t buy everything on my shopping list today. I couldn’t find a couple of the items in the store, even though I looked all over for them.”","“The store sent me a coupon for a new brand of soup, so I came here to find out what kinds of soup that brand offers. I decided to buy a few cans because I had the coupon.”","“This store is larger than one that’s closer to where I live, and it carries more products. I came here to buy some things that the other store doesn’t always have.” odule"
