test_name,section,module,question_number,question_type,correct_answer,passage,question_stem,choice_A,choice_B,choice_C,choice_D
sat-practice-test-8-digital,Reading and Writing,1,1,Multiple Choice,B,"As Mexico’s first president from an Indigenous community, Benito Juarez became one of the most ______ figures in his country’s history: among the many significant accomplishments of his long tenure in office (1858–1872), Juarez consolidated the authority of the national government and advanced the rights of Indigenous peoples.",Which choice completes the text with the most logical and precise word or phrase?,unpredictable,important,secretive,ordinary
sat-practice-test-8-digital,Reading and Writing,1,2,Multiple Choice,D,"- - - - - - - - - ~ Mônica Lopes-Ferreira and others at Brazil’s Butantan Institute are studying the freshwater stingray species Potamotrygon rexto determine whether biological characteristics such as the rays’ age and sex have _______effect on the toxicity of their venom—that is, to see if differences in these traits are associated with considerable variations in venom potency.",Which choice completes the text with the most logical and precise word or phrase?,a disconcerting,an acceptable,an imperceptible,a substantial Mo
sat-practice-test-8-digital,Reading and Writing,1,3,Multiple Choice,A,"Kelp forests grow underwater along the eastern Pacific Coast. These underwater forests are important to fish and other marine animals. Ocean currents can be powerful and rough, making it difficult for animals to find safe places to hide from predators. The underwater forests slow down the currents. This creates a more _______environment with calmer waters where animals can take shelter.",Which choice completes the text with the most logical and precise word or phrase?,tranquil,dangerous,imaginative,surprising
sat-practice-test-8-digital,Reading and Writing,1,4,Multiple Choice,C,"The Mule Bone, a 1930 play written by Zora Neale Hurston and Langston Hughes, is perhaps the best-known of the few examples of ______ in literature. Most writers prefer working alone, and given that working together cost Hurston and Hughes their friendship, it is not hard to see why.",Which choice completes the text with the most logical and precise word or phrase?,characterization,interpretation,collaboration,commercialization
sat-practice-test-8-digital,Reading and Writing,1,5,Multiple Choice,C,"Ofelia Zepeda’s contributions to the field of linguistics are _______: her many accomplishments include working as a linguistics professor and bilingual poet, authoring the first Tohono O’odham grammar book, and co-founding the American Indian Language Development Institute.",Which choice completes the text with the most logical and precise word or phrase?,pragmatic,controversial,extensive,universal
sat-practice-test-8-digital,Reading and Writing,1,6,Multiple Choice,C,"Archaeologists studying the ancient city of Pompeii in Italy recently discovered a well-preserved food shop known as a thermopolium. The site contains food remains, artworks, and decorations. These items give researchers a better understanding of what daily life in Pompeii may have been like. For example, the archaeologists found a ceramic jar that they believe likely contained a meat and seafood stew.",Which choice best states the main purpose of the text?,To compare ancient artworks with modern ones,To discuss the political system of Italy,To present a recent archaeological discovery,To describe a region’s climate odule
sat-practice-test-8-digital,Reading and Writing,1,7,Multiple Choice,D,"The following text is from Sarah Orne Jewett’s 1899 short story “Martha’s Lady.” Martha is employed by Miss Pyne as a maid. Miss Pyne sat by the window watching, in her best dress, looking stately and calm; she seldom went out now, and it was almost time for the carriage. Martha was just coming in from the garden with the strawberries, and with more flowers in her apron. It was a bright cool evening in June, the golden robins sang in the elms, and the sun was going down behind the apple-trees at the foot of the garden. The beautiful old house stood wide open to the long-expected guest.",Which choice best states the main purpose of the text?,To convey the worries brought about by a new guest,To describe how the characters have changed over time,To contrast the activity indoors with the stillness outside,To depict the setting as the characters await a visitor’s arrival
sat-practice-test-8-digital,Reading and Writing,1,8,Multiple Choice,A,"The following text is adapted from Aphra Behn’s 1689 novel The Lucky Mistake. Atlante and Rinaldo are neighbors who have been secretly exchanging letters through Charlot, Atlante’s sister. [Atlante] gave this letter to Charlot; who immediately ran into the balcony with it, where she still found Rinaldo in a melancholy posture, leaning his head on his hand: She showed him the letter, but was afraid to toss it to him, for fear it might fall to the ground; so he ran and fetched a long cane, which he cleft at one end, and held it while she put the letter into the cleft, and stayed not to hear what he said to it. But never was man so transported with joy, as he was at the reading of this letter; it gives him new wounds; for to the generous, nothing obliges love so much as love.",Which choice best describes the overall structure of the text?,"It describes the delivery of a letter, and then portrays a character’s happiness at reading that letter.","It establishes that a character is desperate to receive a letter, and then explains why another character has not yet written that letter.","It presents a character’s concerns about delivering a letter, and then details the contents of that letter.","It reveals the inspiration behind a character’s letter, and then emphasizes the excitement that another character feels upon receiving that letter. Mo"
sat-practice-test-8-digital,Reading and Writing,1,9,Multiple Choice,A,"According to historian Vicki L. Ruiz, Mexican American women made crucial contributions to the labor movement during World War II. At the time, food processing companies entered into contracts to supply United States armed forces with canned goods. Increased production quotas conferred greater bargaining power on the companies’ employees, many of whom were Mexican American women: employees insisted on more favorable benefits, and employers, who were anxious to fulfill the contracts, complied. Thus, labor activism became a platform for Mexican American women to assert their agency.",Which choice best describes the function of the underlined portion in the text as a whole?,It elaborates on a claim about labor relations in a particular industry made earlier in the text.,It offers an example of a trend in the World War II–era economy discussed earlier in the text.,It notes a possible exception to the historical narrative of labor activism sketched earlier in the text.,It provides further details about the identities of the workers discussed earlier in the text.
sat-practice-test-8-digital,Reading and Writing,1,10,Multiple Choice,D,"For many years, the only existing fossil evidence of mixopterid eurypterids—an extinct family of large aquatic arthropods known as sea scorpions and related to modern arachnids and horseshoe crabs—came from four species living on the paleocontinent of Laurussia. In a discovery that expands our understanding of the geographical distribution of mixopterids, paleontologist Bo Wang and others have identified fossilized remains of a new mixopterid species, Terropterus xiushanensis, that lived over 400 million years ago on the paleocontinent of Gondwana.","According to the text, why was Wang and his team’s discovery of the Terropterus xiushanensis fossil significant?",The fossil constitutes the first evidence found by scientists that mixopterids lived more than 400 million years ago.,The fossil helps establish that mixopterids are more closely related to modern arachnids and horseshoe crabs than previously thought.,The fossil helps establish a more accurate timeline of the evolution of mixopterids on the paleocontinents of Laurussia and Gondwana.,The fossil constitutes the first evidence found by scientists that mixopterids existed outside the paleocontinent of Laurussia. odule
